audio_features/danceability,audio_features/energy,audio_features/key,audio_features/loudness,audio_features/mode,audio_features/speechiness,audio_features/acousticness,audio_features/instrumentalness,audio_features/liveness,audio_features/valence,audio_features/tempo,audio_features/type,audio_features/id,audio_features/uri,audio_features/track_href,audio_features/analysis_url,audio_features/duration_ms,audio_features/time_signature
0.5,0.748,4,-9.072,1,0.0363,0.127,0,0.447,0.514,118.852,audio_features,4bHsxqR3GMrXTxEPLuK5ue,spotify:track:4bHsxqR3GMrXTxEPLuK5ue,https://api.spotify.com/v1/tracks/4bHsxqR3GMrXTxEPLuK5ue,https://api.spotify.com/v1/audio-analysis/4bHsxqR3GMrXTxEPLuK5ue,250987,4
0.828,0.492,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151,audio_features,0ofHAoxe9vBkTCp2UQIavz,spotify:track:0ofHAoxe9vBkTCp2UQIavz,https://api.spotify.com/v1/tracks/0ofHAoxe9vBkTCp2UQIavz,https://api.spotify.com/v1/audio-analysis/0ofHAoxe9vBkTCp2UQIavz,257800,4
0.559,0.868,5,-5.276,1,0.17,0.0475,0.000176,0.776,0.609,156.295,audio_features,5T8EDUDqKcs6OSOwEsfqG7,spotify:track:5T8EDUDqKcs6OSOwEsfqG7,https://api.spotify.com/v1/tracks/5T8EDUDqKcs6OSOwEsfqG7,https://api.spotify.com/v1/audio-analysis/5T8EDUDqKcs6OSOwEsfqG7,209413,4
0.953,0.458,6,-7.192,0,0.147,0.135,0,0.0873,0.766,116.001,audio_features,00oWrQTc4y7TvvyoT2hpeB,spotify:track:00oWrQTc4y7TvvyoT2hpeB,https://api.spotify.com/v1/tracks/00oWrQTc4y7TvvyoT2hpeB,https://api.spotify.com/v1/audio-analysis/00oWrQTc4y7TvvyoT2hpeB,186207,4
0.429,0.631,4,-11.514,0,0.0769,0.0000785,0.00411,0.175,0.376,162.734,audio_features,1jzDzZWeSDBg5fhNc3tczV,spotify:track:1jzDzZWeSDBg5fhNc3tczV,https://api.spotify.com/v1/tracks/1jzDzZWeSDBg5fhNc3tczV,https://api.spotify.com/v1/audio-analysis/1jzDzZWeSDBg5fhNc3tczV,168440,4
0.388,0.72,7,-5.541,1,0.033,0.202,0.000288,0.283,0.554,141.283,audio_features,01MXkFA8sL7at6txavDErt,spotify:track:01MXkFA8sL7at6txavDErt,https://api.spotify.com/v1/tracks/01MXkFA8sL7at6txavDErt,https://api.spotify.com/v1/audio-analysis/01MXkFA8sL7at6txavDErt,341747,4
0.457,0.266,6,-14.465,1,0.0313,0.711,0.000261,0.124,0.372,120.459,audio_features,7D5n2kpYH2WSqIyEO9MeXf,spotify:track:7D5n2kpYH2WSqIyEO9MeXf,https://api.spotify.com/v1/tracks/7D5n2kpYH2WSqIyEO9MeXf,https://api.spotify.com/v1/audio-analysis/7D5n2kpYH2WSqIyEO9MeXf,354400,4
0.67,0.75,2,-8.606,1,0.0267,0.0831,0.0566,0.293,0.688,111.266,audio_features,1jyKRuaRzjZdfYL72autvr,spotify:track:1jyKRuaRzjZdfYL72autvr,https://api.spotify.com/v1/tracks/1jyKRuaRzjZdfYL72autvr,https://api.spotify.com/v1/audio-analysis/1jyKRuaRzjZdfYL72autvr,260773,4
0.783,0.836,0,-9.223,0,0.0486,0.396,0.0236,0.135,0.831,108.966,audio_features,5zWZ9iNevP0397xB3jWV2z,spotify:track:5zWZ9iNevP0397xB3jWV2z,https://api.spotify.com/v1/tracks/5zWZ9iNevP0397xB3jWV2z,https://api.spotify.com/v1/audio-analysis/5zWZ9iNevP0397xB3jWV2z,222667,4
0.712,0.549,5,-9.484,1,0.0254,0.011,0,0.118,0.552,109.882,audio_features,31H6au3jhblhr6MMJiXnCq,spotify:track:31H6au3jhblhr6MMJiXnCq,https://api.spotify.com/v1/tracks/31H6au3jhblhr6MMJiXnCq,https://api.spotify.com/v1/audio-analysis/31H6au3jhblhr6MMJiXnCq,251067,4
